,title,publisher,date,url
77,"SKT-현대차, 모빌리티 스타트업 육성에 협력",신아일보,2019.04.16.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1159208
78,"SKT, 보안기술로 5G 통신망 준비 완료",데일리시큐,2019.03.18.,//www.dailysecu.com/?mod=news&act=articleView&idxno=46959
79,"SKT, 현대차 함께 모빌리티 스타트업 키운다",서울와이어,2019.04.16.,http://www.seoulwire.com/news/articleView.html?idxno=111929
80,"SKT, AI 디스플레이 스피커 '누구 네모' 출시…가격 19만9000원",브릿지경제,2019.04.18.,http://www.viva100.com/main/view.php?key=20190418010006515
81,"SKT, 독거 어르신돌봄·일자리 확대 등 사회적 가치 창출 나서",위키리크스한국,7일 전,http://www.wikileaks-kr.org/news/articleView.html?idxno=53473
82,"""누구 스피커·앱으로 음성통화"" SKT, '누구 콜' 출시",머니투데이,2019.04.07.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=008&aid=0004200372
83,"빕스, 13일 40% 할인 이벤트 진행 'SKT 고객이면 누구나'",아시아투데이,2019.03.13.,http://www.asiatoday.co.kr/view.php?key=20190313000918295
84,"ICT 교실로 진화한 매장, SKT 사회적 가치 높이는 매장 변신에 박차",한국금융신문,2019.04.14.,http://www.fntimes.com/html/view.php?ud=20190414003527556955469ec131_18
85,SKT 대리점 'ICT 교실'로 변신… 스마트폰·코딩 교육,뉴데일리,2019.04.14.,http://biz.newdaily.co.kr/site/data/html/2019/04/14/2019041400002.html
86,"SKT-현대차, 자율주행차 생태계 스타트업 육성",글로벌이코노믹,2019.04.16.,http://www.g-enews.com/ko-kr/news/article/news_all/2019041612492888067f5f3fab4e_1/article.html
87,"[KBL FINAL] 악마 같았던 쇼터, 누구보다 무서웠다",루키,2019.04.17.,http://sports.news.naver.com/basketball/news/read.nhn?oid=398&aid=0000025571
88,"[종합] SKT, 자격제한 있는데도 제3인터넷은행 출사표…왜?",아이뉴스24언론사 선정,2019.02.19.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000482030
89,"현대차-SKT, 고객응대용 로봇 개발 협력",프라임경제,2019.03.12.,http://www.newsprime.co.kr/news/article.html?no=450412
90,"""라이벌은 누구냐""는 질문 들은 '갓' 페이커가 망설임 없이 뽑은 선수",인사이트,3일 전,https://www.insight.co.kr/news/224631
91,"SKT, '월드 IT쇼'에 'AR 앵그리버드' 등 5G 서비스 전시",뉴시스,6일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009189460
92,"SKT 인공지능 스피커, 2100명 독거 노인 돌본다",이로운넷,7일 전,http://www.eroun.net/news/articleView.html?idxno=5325
93,"SKT, ICT 동반성장의 산실 '테크갤러리' 개소",스트레이트뉴스,4일 전,http://www.straightnews.co.kr/news/articleView.html?idxno=47530
94,"""보이는 AI 스피커가 떴다""…SKT, '누구 네모' 출시",뉴시스,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0009180782
95,"SKT, ICT로 사회취약계층 돌봄서비스 펼친다",문화일보,,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=021&aid=0002388596
96,"SKT, 화면 달린 AI 스피커 '누구 네모' 출시",블로터언론사 선정,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000023954
97,"박정호 SKT 사장 ""'누구 AI'로 사회안전망 구축""",아이뉴스24,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=031&aid=0000489798
98,"SKT ‘테크갤러리’ 개소, ICT기술·인프라 공유",뉴스웨이,4일 전,http://www.newsway.co.kr/news/view?tp=1&ud=2019042514135279812
99,"SKT '누구네모', 화면 장착한 AI스피커 실용성 낙제점?",FETV,2019.04.18.,http://www.fetv.co.kr/news/article.html?no=26395
100,"[SR경제&라이프] SKT, '월드 IT쇼 2019'서 혁신적 5G 서비스 선보인다",SR타임스,5일 전,http://www.srtimes.kr/news/articleView.html?idxno=37713
